Johanneksen evankeliumi suomeksi ja vosaksi.	Johanof rossa mu fin a vosa.
Vuoden 1776 raamatun käännöksestä, josta osa kohdista on muutettu nykysuomeksi.	Ob jän 1776 uskirto vosmuo, ob ko ik iplosi oo temuuen mu nenfin.
Johannes 1	Johan 1
1 Alussa oli sana, se Sana oli Jumalan tykönä ja Jumala oli se Sana.	1 Na nö ooen sa, it Sa ooen tut Hajo a Hajo ooen it Sa.
2 Tämä oli alussa Jumalan tykönä.	2 Tä ooen nöna tut Hajo.
3 Kaikki ovat sen kautta tehdyt ja ilman sitä ei ole mitään tehty, joka tehty on.	3 Ki oo intuni it tee-en a ejli it oo ejö tee-en, ko tee-en oo.
4 Hänessä oli elämä ja elämä oli ihmisten valkeus.	4 In hä ooen eo a eo ooen mämsiof vitvao.
5 Ja valkeus paistaa pimeydessä, jota ei pimeys käsittänyt.	5 A vitvao katkliir in takvao, ko ej takvao vosooen.
6 Yksi mies oli lähetetty Jumalalta, jonka nimi oli Johannes.	6 Is mä ooen pagaaen ut Hajo, kojo-of ersa ooen Johan.
7 Hän tuli valkeudesta todistamaan, että kaikki uskoisivat hänen kauttansa.	7 Hä uuten öb vitvao dariil, syt ki uusif intuni hä.
8 Ei hän ollut valkeus, mutta hän oli lähetetty valkeudesta todistamaan.	8 Ej hä ooen vitvao, mut hä ooen pagaaen öb vitvao dariil.
9 Se oli totinen valkeus, joka valistaa kaikki ihmiset, jotka maailmaan tulevat.	9 It ooen darilva vitvao, ko katdafaa ki mämsi, kojosi intu köl uuten.
10 Se oli maailmassa ja maailma oli hänen kauttansa tehty ja ei maailma häntä tuntenut.	10 It ooen in köl a köl ooen intuni hä tee-en a ej köl kavodaaen hä.
11 Hän tuli omillensa ja ei hänen omansa häntä ottaneet vastaan.	11 Hä uuten for häof öfjosi a ej häof öfjosi ögaapen hä.
12 Mutta niille, jotka hänen ottivat vastaan, antoi hän voiman Jumalan lapsiksi tulla, jotka uskovat hänen nimensä päälle,	12 Mut le häsi, kojosi ögaapen hä, faaen hä po mu Hajo-of ipmämsi muu, kojosi uus le häof ersa,
13 jotka ei verestä eikä lihan tahdosta, ei myös miehen tahdosta, mutta Jumalasta syntyneet ovat.	13 kojosi ej ob hemo, ej ali obra of mä, mut ob Hajo nöee-en oo
14 Ja Sana tuli lihaksi ja asui meidän seassamme, ja me näimme hänen kunniansa niin kuin ainoan Pojan kunnian Isästä täynnä armoa ja totuutta.	14 A Sa muuen mit a elooen insio ajsi, a ajsi vokaaen häof hon itli li eris Sonof hon ut Ma, ful hacuah a darilvao.
15 Johannes todisti hänestä ja huusi sanoen: Tämä oli se, josta minä sanoin: Minun jälkeeni on tuleva, joka minun edelläni on ollut; sillä hän oli ennen kuin minä.	15 Johan dariilen öb hä a sääen saali: Tä ooen it, öb ko aj saaen: Ne aj uutne, kojo edla aj oo ooen; syfor hä ooen en na aj.
16 Ja me olemme kaikki hänen täydellisyydestänsä saaneet ja armon armosta.	16 A ajsi oo ki ob häof fulvovao aafen a hacuah ob hacuah.
17 Sillä laki on Mooseksen kautta annettu, armo ja totuus on Jeesuksen Kristuksen kautta tullut.	17 Syfor pöso oo intuni Moses faaen, hacuah a darilvao oo intuni Jesus Krist uuten.
